API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Mar 17 19:04:30 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Nov-16 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460443.500000000, A.D. 2024-May-13 00:00:00.0000,  1.289880830503100E+00, -4.933698573458551E-01, -4.197855692234845E-02,
2460444.500000000, A.D. 2024-May-14 00:00:00.0000,  1.295340513133123E+00, -4.790771903991499E-01, -4.181293754683061E-02,
2460445.500000000, A.D. 2024-May-15 00:00:00.0000,  1.300654889085093E+00, -4.647307815038836E-01, -4.164262769404821E-02,
2460446.500000000, A.D. 2024-May-16 00:00:00.0000,  1.305823389934117E+00, -4.503322498197124E-01, -4.146764735706701E-02,
2460447.500000000, A.D. 2024-May-17 00:00:00.0000,  1.310845468412499E+00, -4.358832213167358E-01, -4.128801719034196E-02,
2460448.500000000, A.D. 2024-May-18 00:00:00.0000,  1.315720598505780E+00, -4.213853284346694E-01, -4.110375850487484E-02,
2460449.500000000, A.D. 2024-May-19 00:00:00.0000,  1.320448275542936E+00, -4.068402097413386E-01, -4.091489326370488E-02,
2460450.500000000, A.D. 2024-May-20 00:00:00.0000,  1.325028016279293E+00, -3.922495095903593E-01, -4.072144407708401E-02,
2460451.500000000, A.D. 2024-May-21 00:00:00.0000,  1.329459358971492E+00, -3.776148777768665E-01, -4.052343419694868E-02,
2460452.500000000, A.D. 2024-May-22 00:00:00.0000,  1.333741863445459E+00, -3.629379691908712E-01, -4.032088751106919E-02,
2460453.500000000, A.D. 2024-May-23 00:00:00.0000,  1.337875111158214E+00, -3.482204434694838E-01, -4.011382853734281E-02,
2460454.500000000, A.D. 2024-May-24 00:00:00.0000,  1.341858705252917E+00, -3.334639646495987E-01, -3.990228241807482E-02,
2460455.500000000, A.D. 2024-May-25 00:00:00.0000,  1.345692270606154E+00, -3.186702008211166E-01, -3.968627491380027E-02,
2460456.500000000, A.D. 2024-May-26 00:00:00.0000,  1.349375453867741E+00, -3.038408237793407E-01, -3.946583239667680E-02,
2460457.500000000, A.D. 2024-May-27 00:00:00.0000,  1.352907923494273E+00, -2.889775086758529E-01, -3.924098184393091E-02,
2460458.500000000, A.D. 2024-May-28 00:00:00.0000,  1.356289369776817E+00, -2.740819336690395E-01, -3.901175083159480E-02,
2460459.500000000, A.D. 2024-May-29 00:00:00.0000,  1.359519504861694E+00, -2.591557795755908E-01, -3.877816752815041E-02,
2460460.500000000, A.D. 2024-May-30 00:00:00.0000,  1.362598062763230E+00, -2.442007295226958E-01, -3.854026068752543E-02,
2460461.500000000, A.D. 2024-May-31 00:00:00.0000,  1.365524799368739E+00, -2.292184685998892E-01, -3.829805964146935E-02,
2460462.500000000, A.D. 2024-Jun-01 00:00:00.0000,  1.368299492437155E+00, -2.142106835108127E-01, -3.805159429193572E-02,
2460463.500000000, A.D. 2024-Jun-02 00:00:00.0000,  1.370921941592055E+00, -1.991790622263303E-01, -3.780089510389734E-02,
2460464.500000000, A.D. 2024-Jun-03 00:00:00.0000,  1.373391968308227E+00, -1.841252936395329E-01, -3.754599309823831E-02,
2460465.500000000, A.D. 2024-Jun-04 00:00:00.0000,  1.375709415890650E+00, -1.690510672216004E-01, -3.728691984411363E-02,
2460466.500000000, A.D. 2024-Jun-05 00:00:00.0000,  1.377874149446193E+00, -1.539580726774557E-01, -3.702370745081085E-02,
